t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
33.000591,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
33.100593,0.100000,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
33.200592,0.100000,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
33.300590,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
33.400592,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
33.500591,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
33.600593,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
33.700592,0.100000,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
33.800594,0.100004,6.237262,0.350000,6.237262,4.000000,4.000000,6.000000
33.900600,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
34.000598,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
34.100601,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
34.200599,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
